forecast_mw,lower_bound_80,upper_bound_80,lower_bound_90,upper_bound_90,lower_bound_95,upper_bound_95,uncertainty_sigma_mw,datetime,temp_c,relative_humidity,weather_source
6386.92,6216.61,6557.24,6168.38,6605.46,6126.53,6647.31,132.85,2024-07-01 00:00:00,33.44,61.92,climatology
6664.97,6492.61,6837.33,6443.8,6886.13,6401.45,6928.48,134.45,2024-07-01 01:00:00,32.73,62.81,climatology
6806.46,6632.41,6980.5,6583.13,7029.78,6540.37,7072.55,135.76,2024-07-01 02:00:00,32.28,63.37,climatology
6844.29,6668.76,7019.81,6619.06,7069.51,6575.93,7112.64,136.91,2024-07-01 03:00:00,32.13,63.57,climatology
6875.62,6698.75,7052.49,6648.67,7102.57,6605.21,7146.03,137.96,2024-07-01 04:00:00,32.28,63.37,climatology
6946.55,6768.44,7124.67,6718.01,7175.1,6674.25,7218.86,138.93,2024-07-01 05:00:00,32.73,62.81,climatology
6797.44,6618.16,6976.72,6567.4,7027.48,6523.35,7071.53,139.84,2024-07-01 06:00:00,33.44,61.92,climatology
6949.75,6769.38,7130.13,6718.3,7181.2,6673.98,7225.52,140.7,2024-07-01 07:00:00,34.38,60.75,climatology
7224.05,7042.63,7405.47,6991.26,7456.84,6946.68,7501.42,141.52,2024-07-01 08:00:00,35.46,59.4,climatology
7401.69,7219.27,7584.11,7167.61,7635.77,7122.79,7680.59,142.3,2024-07-01 09:00:00,36.63,57.94,climatology
7766.63,7583.24,7950.01,7531.32,8001.94,7486.26,8047.0,143.05,2024-07-01 10:00:00,37.79,56.48,climatology
8109.7,7925.38,8294.01,7873.2,8346.2,7827.91,8391.48,143.77,2024-07-01 11:00:00,38.88,55.13,climatology
8724.61,8539.41,8909.82,8486.96,8962.26,8441.46,9007.77,144.47,2024-07-01 12:00:00,39.81,53.96,climatology
9057.9,8871.82,9243.97,8819.14,9296.66,8773.42,9342.38,145.14,2024-07-01 13:00:00,40.52,53.07,climatology
9264.68,9077.76,9451.59,9024.83,9504.52,8978.91,9550.45,145.8,2024-07-01 14:00:00,40.97,52.51,climatology
9304.44,9116.7,9492.17,9063.54,9545.33,9017.41,9591.46,146.44,2024-07-01 15:00:00,41.13,52.32,climatology
9191.54,9003.01,9380.07,8949.62,9433.46,8903.3,9479.78,147.06,2024-07-01 16:00:00,40.97,52.51,climatology
